Date,AAL,ABF,ADM,AHT,AZN,BARC,BATS,BDEV,BLT,CCH,CCL,CNA,CPG,CRH,DGE,EVR,EZJ,FRES,GLEN,GSK,IAG,IHG,III,IMB,INF,LAND,LSE,MCRO,MKS,MRO,MRW,NMC,NXT,PRU,PSN,PSON,RBS,REL,RIO,RMG,RSA,SDR,SGE,SHP,SKG,SLA,SMIN,SMT,SSE,STAN,STJ,SVT,TSCO,TUI,VOD,WPP,WTB
02JAN2008,-0.0520,#N/A,-0.0252,-0.0125,-0.0091,#N/A,#N/A,#N/A,-0.0552,#N/A,-0.0187,0.0116,#N/A,0.0272,#N/A,-0.0543,#N/A,#N/A,#N/A,-0.0044,0.0642,-0.0299,-0.0657,0.0891,#N/A,#N/A,0.0226,#N/A,#N/A,0.0089,#N/A,#N/A,-0.0202,-0.0214,#N/A,0.0556,-0.0156,#N/A,-0.0005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0203,#N/A,#N/A,#N/A,-0.0491,-0.0086,0.0290,-0.0484,#N/A,-0.0139,-0.0289,#N/A
03JAN2008,0.0038,#N/A,0.0104,-0.0324,0.0075,#N/A,#N/A,#N/A,-0.0129,#N/A,-0.0163,-0.0287,#N/A,0.0382,#N/A,-0.0088,#N/A,#N/A,#N/A,0.0120,0.0186,0.0000,-0.0187,0.0633,#N/A,#N/A,0.0035,#N/A,#N/A,0.0078,#N/A,#N/A,0.0008,0.0027,#N/A,-0.0270,0.0102,#N/A,0.0205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0108,#N/A,#N/A,#N/A,0.0193,-0.0060,-0.0147,-0.0333,#N/A,-0.0024,-0.0128,#N/A
04JAN2008,-0.0105,#N/A,0.0026,-0.0437,-0.0257,#N/A,#N/A,#N/A,-0.0322,#N/A,-0.0289,-0.0380,#N/A,0.0040,#N/A,-0.0376,#N/A,#N/A,#N/A,-0.0095,0.0057,-0.0533,-0.0048,-0.0900,#N/A,#N/A,-0.0220,#N/A,#N/A,-0.0373,#N/A,#N/A,-0.0320,-0.0093,#N/A,-0.0069,-0.0584,#N/A,-0.0502,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0051,#N/A,#N/A,#N/A,-0.0319,-0.0275,-0.0347,-0.0342,#N/A,-0.0084,-0.0357,#N/A
07JAN2008,0.0061,#N/A,0.0002,0.0137,0.0370,#N/A,#N/A,#N/A,0.0396,#N/A,-0.0115,0.0232,#N/A,-0.0072,#N/A,0.0242,#N/A,#N/A,#N/A,0.0489,-0.0283,-0.0582,0.0160,0.0128,#N/A,#N/A,-0.0533,#N/A,#N/A,-0.0104,#N/A,#N/A,-0.0074,0.0025,#N/A,-0.0209,0.0072,#N/A,-0.0110,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0115,#N/A,#N/A,#N/A,0.0035,0.0452,0.0571,0.0172,#N/A,0.0162,-0.0032,#N/A
08JAN2008,-0.1166,#N/A,-0.0183,-0.0586,0.0162,#N/A,#N/A,#N/A,-0.0190,#N/A,-0.0148,-0.0546,#N/A,-0.0502,#N/A,-0.0422,#N/A,#N/A,#N/A,0.0131,0.0641,-0.0053,-0.0236,-0.1039,#N/A,#N/A,0.0187,#N/A,#N/A,-0.0064,#N/A,#N/A,-0.0113,-0.0366,#N/A,-0.0001,-0.0178,#N/A,-0.0204,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0035,#N/A,#N/A,#N/A,-0.0311,0.0162,0.0427,-0.0227,#N/A,0.0003,-0.0154,#N/A
09JAN2008,0.0085,#N/A,0.0038,-0.0383,0.0321,#N/A,#N/A,#N/A,0.0353,#N/A,-0.0089,0.0055,#N/A,-0.0321,#N/A,-0.0388,#N/A,#N/A,#N/A,0.0172,0.0361,-0.0461,-0.0065,-0.1740,#N/A,#N/A,-0.0196,#N/A,#N/A,-0.0229,#N/A,#N/A,0.0041,0.0167,#N/A,0.0214,0.0072,#N/A,0.0048,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0078,#N/A,#N/A,#N/A,-0.0301,0.0346,-0.0102,-0.0077,#N/A,0.0014,-0.0105,#N/A
10JAN2008,0.1326,#N/A,-0.0135,0.0083,-0.0075,#N/A,#N/A,#N/A,-0.0043,#N/A,0.0050,0.0590,#N/A,-0.0009,#N/A,0.0213,#N/A,#N/A,#N/A,-0.0035,0.0275,-0.0133,0.0049,0.2298,#N/A,#N/A,0.0000,#N/A,#N/A,-0.0220,#N/A,#N/A,0.0057,0.0263,#N/A,0.0265,-0.0287,#N/A,0.0240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0017,#N/A,#N/A,#N/A,0.0165,-0.0002,0.0562,0.0216,#N/A,0.0057,-0.0081,#N/A
11JAN2008,-0.0462,#N/A,-0.0211,-0.0247,0.0098,#N/A,#N/A,#N/A,-0.0539,#N/A,-0.0222,-0.0174,#N/A,0.0112,#N/A,-0.0310,#N/A,#N/A,#N/A,-0.0190,0.0000,0.0305,-0.0404,-0.0952,#N/A,#N/A,-0.0238,#N/A,#N/A,-0.0263,#N/A,#N/A,-0.0133,0.0022,#N/A,0.0408,0.0074,#N/A,-0.0175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0069,#N/A,#N/A,#N/A,-0.0298,0.0065,0.0306,-0.0510,#N/A,-0.0271,0.0129,#N/A
14JAN2008,0.0195,#N/A,0.0344,0.0067,-0.0126,#N/A,#N/A,#N/A,0.0335,#N/A,-0.0030,0.0217,#N/A,0.0372,#N/A,0.0028,#N/A,#N/A,#N/A,-0.0073,0.0072,-0.0055,-0.0185,-0.0899,#N/A,#N/A,-0.0141,#N/A,#N/A,0.0070,#N/A,#N/A,0.0098,-0.0016,#N/A,0.0301,0.0282,#N/A,0.0234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0017,#N/A,#N/A,#N/A,-0.0350,-0.0163,0.0237,0.0242,#N/A,-0.0121,0.0169,#N/A
15JAN2008,0.0123,#N/A,-0.0031,-0.0352,-0.0163,#N/A,#N/A,#N/A,-0.0245,#N/A,-0.0114,-0.0388,#N/A,-0.0398,#N/A,-0.0176,#N/A,#N/A,#N/A,-0.0091,-0.0664,-0.0478,-0.0051,-0.0567,#N/A,#N/A,-0.0117,#N/A,#N/A,-0.0494,#N/A,#N/A,-0.0134,-0.0215,#N/A,0.0013,-0.0548,#N/A,-0.0584,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0026,#N/A,#N/A,#N/A,-0.0015,-0.0257,-0.0145,-0.0240,#N/A,-0.0078,-0.0310,#N/A
