,date,threshold,density,coloring,num_colors,valid_coloring
0,2008-11-30,0.4,0.6571428571428571,"{'ADM': 0, 'AHT': 1, 'AZN': 2, 'CCL': 3, 'CNA': 4, 'CRH': 5, 'GSK': 6, 'IAG': 7, 'IHG': 8, 'MRO': 9, 'PRU': 10, 'RIO': 11, 'WPP': 12, 'EVR': 7, 'PSON': 1, 'RBS': 6, 'STAN': 10, 'SVT': 6, 'TSCO': 0, 'VOD': 13, 'III': 0}",13,True
1,2009-04-30,0.4,0.38571428571428573,"{'ADM': 0, 'CCL': 1, 'CNA': 2, 'CRH': 3, 'IHG': 4, 'PRU': 5, 'RBS': 6, 'VOD': 7, 'WPP': 8, 'AHT': 8, 'AZN': 9, 'EVR': 7, 'GSK': 3, 'MRO': 9, 'PSON': 0, 'RIO': 0, 'STAN': 4, 'TSCO': 2, 'IAG': 0, 'III': 0, 'SVT': 0}",9,True
2,2010-07-31,0.4,0.5476190476190477,"{'ADM': 0, 'AHT': 1, 'CCL': 2, 'CNA': 3, 'IAG': 4, 'IHG': 5, 'MRO': 6, 'PRU': 7, 'STAN': 8, 'TSCO': 9, 'AZN': 9, 'CRH': 10, 'EVR': 0, 'GSK': 1, 'RBS': 11, 'RIO': 10, 'SVT': 3, 'VOD': 0, 'WPP': 4, 'III': 0, 'PSON': 0}",11,True
3,2010-12-31,0.4,0.35714285714285715,"{'ADM': 0, 'CCL': 1, 'CNA': 2, 'MRO': 3, 'RBS': 4, 'RIO': 5, 'AHT': 0, 'AZN': 0, 'CRH': 1, 'EVR': 4, 'GSK': 10, 'IHG': 1, 'PRU': 8, 'STAN': 1, 'SVT': 2, 'TSCO': 7, 'VOD': 3, 'WPP': 9, 'IAG': 0, 'III': 0, 'PSON': 0}",10,False
4,2011-05-31,0.4,0.34285714285714286,"{'ADM': 0, 'IAG': 1, 'RIO': 2, 'VOD': 3, 'WPP': 4, 'AHT': 6, 'AZN': 0, 'CCL': 3, 'CNA': 8, 'CRH': 0, 'EVR': 0, 'GSK': 1, 'IHG': 5, 'III': 1, 'MRO': 7, 'PRU': 7, 'PSON': 2, 'RBS': 3, 'STAN': 7, 'SVT': 5, 'TSCO': 3}",8,False
5,2011-10-31,0.4,0.7380952380952381,"{'ADM': 0, 'AHT': 1, 'AZN': 2, 'CCL': 3, 'CNA': 4, 'CRH': 5, 'EVR': 6, 'IHG': 7, 'MRO': 8, 'PRU': 9, 'RBS': 10, 'RIO': 11, 'STAN': 12, 'VOD': 13, 'WPP': 14, 'GSK': 1, 'IAG': 12, 'III': 0, 'SVT': 15, 'TSCO': 8, 'PSON': 0}",15,True
6,2012-03-31,0.4,0.4666666666666667,"{'ADM': 0, 'AHT': 1, 'AZN': 2, 'CCL': 3, 'CNA': 4, 'GSK': 5, 'IHG': 6, 'PRU': 7, 'STAN': 8, 'CRH': 1, 'EVR': 2, 'IAG': 8, 'III': 1, 'MRO': 4, 'RBS': 9, 'RIO': 5, 'TSCO': 1, 'VOD': 3, 'WPP': 9, 'PSON': 0, 'SVT': 0}",9,False
7,2013-01-31,0.4,0.34285714285714286,"{'ADM': 0, 'AHT': 1, 'CNA': 2, 'III': 3, 'MRO': 4, 'PRU': 5, 'AZN': 6, 'CCL': 6, 'CRH': 6, 'EVR': 1, 'GSK': 3, 'IAG': 0, 'IHG': 1, 'PSON': 5, 'RBS': 4, 'RIO': 6, 'STAN': 4, 'SVT': 5, 'TSCO': 3, 'VOD': 3, 'WPP': 2}",6,False
8,2013-06-30,0.4,0.5761904761904761,"{'ADM': 0, 'AZN': 1, 'CNA': 2, 'CRH': 3, 'EVR': 4, 'GSK': 5, 'IHG': 6, 'MRO': 7, 'PRU': 8, 'RIO': 9, 'VOD': 10, 'AHT': 13, 'CCL': 0, 'IAG': 3, 'III': 5, 'PSON': 10, 'RBS': 11, 'STAN': 8, 'SVT': 5, 'TSCO': 7, 'WPP': 11}",13,True
9,2014-09-30,0.4,0.2619047619047619,"{'ADM': 0, 'AHT': 1, 'CCL': 2, 'CNA': 3, 'PRU': 4, 'AZN': 6, 'CRH': 3, 'EVR': 2, 'GSK': 5, 'IAG': 5, 'IHG': 1, 'III': 1, 'MRO': 3, 'RBS': 3, 'RIO': 0, 'STAN': 2, 'TSCO': 5, 'VOD': 6, 'WPP': 2, 'PSON': 0, 'SVT': 0}",6,True
