,date,threshold,density,max_ind_set,set_size,valid_soln
0,2008-06-30,0.1,0.9005847953216374,"{'SHY', 'USRT'}",2,True
1,2008-11-30,0.1,0.8888888888888888,"{'VB', 'BND', 'MUB'}",3,True
2,2009-04-30,0.1,0.8771929824561403,"{'VWO', 'UNG'}",2,True
3,2009-09-30,0.1,0.8830409356725146,"{'BND', 'UNG', 'SLV'}",3,True
4,2010-02-28,0.1,0.935672514619883,"{'SHY', 'ICF'}",2,True
5,2010-07-31,0.1,0.8362573099415205,"{'BND', 'UNG', 'MUB'}",3,True
6,2010-12-31,0.1,0.7485380116959064,"{'VWO', 'BND', 'UNG'}",3,True
7,2011-05-31,0.1,0.9005847953216374,"{'ICF', 'MUB', 'TIP'}",3,True
8,2011-10-31,0.1,0.8830409356725146,"{'GLD', 'MUB', 'TIP'}",3,True
9,2012-03-31,0.1,0.8362573099415205,"{'BND', 'UNG', 'SLV'}",3,True
10,2012-08-31,0.1,0.8538011695906432,"{'USRT', 'TIP'}",2,True
11,2013-01-31,0.1,0.13450292397660818,"{'VWO', 'DBE', 'SHY', 'GLD', 'VB', 'BND', 'DBB', 'USO', 'ICF', 'UNG', 'MUB'}",11,True
12,2013-06-30,0.1,0.9064327485380117,"{'SLV', 'MUB'}",2,True
13,2013-11-30,0.1,0.8771929824561403,"{'TLT', 'USO'}",2,True
14,2014-04-30,0.1,0.7719298245614035,"{'TLT', 'DBE', 'ICF'}",3,True
15,2014-09-30,0.1,0.8830409356725146,"{'ICF', 'SLV', 'DBB'}",3,True
16,2015-02-28,0.1,0.8011695906432749,"{'SHY', 'VTI'}",2,True
17,2015-07-31,0.1,0.8421052631578947,"{'GLD', 'RWR', 'UNG'}",3,True
18,2015-12-31,0.1,0.8304093567251462,"{'GLD', 'MUB'}",2,True
19,2016-05-31,0.1,0.8830409356725146,"{'SLV', 'VTI'}",2,True
20,2016-10-31,0.1,0.8538011695906432,"{'SHY', 'VTI'}",2,True
21,2017-03-31,0.1,0.8830409356725146,"{'TLT', 'UNG', 'DBB'}",3,True
22,2017-08-31,0.1,0.7602339181286549,"{'DBB', 'USRT', 'TIP'}",3,True
23,2008-06-30,0.2,0.8596491228070176,"{'ICF', 'SLV'}",2,True
24,2008-11-30,0.2,0.7719298245614035,"{'DBE', 'BND', 'MUB'}",3,True
25,2009-04-30,0.2,0.783625730994152,"{'VWO', 'GLD', 'MUB'}",3,True
26,2009-09-30,0.2,0.7251461988304093,"{'BND', 'UNG', 'SLV'}",3,True
27,2010-02-28,0.2,0.8596491228070176,"{'BND', 'UNG', 'USRT'}",3,True
28,2010-07-31,0.2,0.7485380116959064,"{'BND', 'UNG', 'MUB'}",3,True
29,2010-12-31,0.2,0.5847953216374269,"{'GLD', 'ICF', 'MUB'}",3,True
30,2011-05-31,0.2,0.7894736842105263,"{'GLD', 'RWR', 'TIP'}",3,True
31,2011-10-31,0.2,0.7894736842105263,"{'GLD', 'BND', 'UNG'}",3,True
32,2012-03-31,0.2,0.6783625730994152,"{'GLD', 'BND', 'UNG'}",3,True
33,2012-08-31,0.2,0.7426900584795322,"{'BND', 'SLV', 'USRT'}",3,True
34,2013-01-31,0.2,0.13450292397660818,"{'VWO', 'DBE', 'SHY', 'GLD', 'VB', 'BND', 'DBB', 'USO', 'ICF', 'UNG', 'MUB'}",11,True
35,2013-06-30,0.2,0.783625730994152,"{'TLT', 'VO', 'DBB'}",3,True
