,date,threshold,density,max_ind_set,set_size,valid_soln
0,2008-06-30,0.1,0.9454545454545454,"{'RWR', 'XLE'}",2,True
1,2008-11-30,0.1,1.0,{'XLY'},1,True
2,2009-04-30,0.1,1.0,{'XLY'},1,True
3,2009-09-30,0.1,1.0,{'XLY'},1,True
4,2010-02-28,0.1,1.0,{'XLY'},1,True
5,2010-07-31,0.1,1.0,{'XLY'},1,True
6,2010-12-31,0.1,1.0,{'XLY'},1,True
7,2011-05-31,0.1,1.0,{'XLY'},1,True
8,2011-10-31,0.1,1.0,{'XLY'},1,True
9,2012-03-31,0.1,1.0,{'XLY'},1,True
10,2012-08-31,0.1,1.0,{'XLY'},1,True
11,2013-01-31,0.1,1.0,{'XLY'},1,True
12,2013-06-30,0.1,1.0,{'XLY'},1,True
13,2013-11-30,0.1,1.0,{'XLY'},1,True
14,2014-04-30,0.1,0.9090909090909091,"{'XLU', 'IYT'}",2,True
15,2014-09-30,0.1,1.0,{'XLY'},1,True
16,2015-02-28,0.1,0.9818181818181818,"{'XLU', 'XLE'}",2,True
17,2015-07-31,0.1,0.9454545454545454,"{'XLU', 'XLK'}",2,True
18,2015-12-31,0.1,1.0,{'XLY'},1,True
19,2016-05-31,0.1,0.9272727272727272,"{'XLB', 'XLU'}",2,True
20,2016-10-31,0.1,0.8363636363636363,"{'XLI', 'XLV'}",2,True
21,2017-03-31,0.1,0.9090909090909091,"{'XLB', 'XLU'}",2,True
22,2017-08-31,0.1,0.9454545454545454,"{'XLP', 'XLE'}",2,True
23,2008-06-30,0.2,0.9090909090909091,"{'IYT', 'XLE'}",2,True
24,2008-11-30,0.2,1.0,{'XLY'},1,True
25,2009-04-30,0.2,1.0,{'XLY'},1,True
26,2009-09-30,0.2,1.0,{'XLY'},1,True
27,2010-02-28,0.2,1.0,{'XLY'},1,True
28,2010-07-31,0.2,1.0,{'XLY'},1,True
29,2010-12-31,0.2,0.9636363636363636,"{'RWR', 'XLV'}",2,True
30,2011-05-31,0.2,1.0,{'XLY'},1,True
31,2011-10-31,0.2,1.0,{'XLY'},1,True
