,date,threshold,density,max_ind_set,set_size,valid_soln
0,2008-06-30,0.1,0.9005847953216374,"['SHY', 'USRT']",2,True
1,2008-11-30,0.1,0.8888888888888888,"['BND', 'MUB', 'RWR', 'VB']",4,False
2,2009-04-30,0.1,0.8771929824561403,"['RWR', 'UNG', 'USRT', 'VO', 'VTI']",5,False
3,2009-09-30,0.1,0.8830409356725146,"['DBB', 'VB', 'VO']",3,False
4,2010-02-28,0.1,0.935672514619883,"['ICF', 'RWR', 'TIP']",3,False
5,2010-07-31,0.1,0.8362573099415205,"['MUB', 'RWR', 'TIP', 'UNG', 'VB', 'VTI', 'VWO']",7,False
6,2010-12-31,0.1,0.7485380116959064,"['TLT', 'UNG', 'VWO']",3,True
7,2011-05-31,0.1,0.9005847953216374,"['DBE', 'SHY', 'SLV', 'USO']",4,False
8,2011-10-31,0.1,0.8830409356725146,"['GLD', 'MUB', 'TIP', 'UNG']",4,False
9,2012-03-31,0.1,0.8362573099415205,"['DBE', 'ICF', 'MUB', 'SLV', 'UNG']",5,False
10,2012-08-31,0.1,0.8538011695906432,"['TIP', 'UNG', 'USO', 'VB', 'VO']",5,False
11,2013-01-31,0.1,0.13450292397660818,"['BND', 'DBB', 'DBE', 'ICF', 'MUB', 'SHY', 'SLV', 'UNG', 'USO', 'VB', 'VEU']",11,True
12,2013-06-30,0.1,0.9064327485380117,"['TIP', 'UNG', 'VO', 'VWO']",4,False
13,2013-11-30,0.1,0.8771929824561403,"['TIP', 'UNG', 'VTI']",3,True
14,2014-04-30,0.1,0.7719298245614035,"['BND', 'USO', 'USRT', 'VTI']",4,False
15,2014-09-30,0.1,0.8830409356725146,"['DBE', 'VEU']",2,True
16,2015-02-28,0.1,0.8011695906432749,"['DBB', 'SHY', 'VB']",3,False
17,2015-07-31,0.1,0.8421052631578947,"['GLD', 'TIP', 'USRT']",3,True
18,2015-12-31,0.1,0.8304093567251462,"['BND', 'TIP', 'UNG', 'VB']",4,False
19,2016-05-31,0.1,0.8830409356725146,"['BND', 'DBE', 'ICF']",3,False
20,2016-10-31,0.1,0.8538011695906432,"['SHY', 'UNG', 'VWO']",3,True
