,date,threshold,density,max_clique,clique_size,valid_clique
0,2008-06-30,0.3,0.7543859649122807,"{'VTI', 'GLD', 'VO', 'VB', 'ICF', 'DBE', 'RWR', 'SHY', 'TLT', 'TIP', 'DBB', 'USO'}",12,True
1,2008-11-30,0.3,0.7134502923976608,"{'VTI', 'GLD', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'SLV', 'DBB', 'USO'}",13,True
2,2009-04-30,0.3,0.695906432748538,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'TLT', 'BND', 'DBB', 'USO'}",13,True
3,2009-09-30,0.3,0.6374269005847953,"{'VTI', 'USRT', 'VO', 'VB', 'VEU', 'VWO', 'RWR', 'SLV', 'USO'}",9,True
4,2010-02-28,0.3,0.7777777777777778,"{'VTI', 'MUB', 'GLD', 'USRT', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'RWR', 'SLV', 'DBB', 'USO'}",13,True
5,2010-07-31,0.3,0.6666666666666666,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'TLT', 'BND', 'USO'}",12,True
6,2010-12-31,0.3,0.4269005847953216,"{'VTI', 'USRT', 'VO', 'ICF', 'VEU', 'VWO', 'RWR', 'DBB'}",8,True
7,2011-05-31,0.3,0.695906432748538,"{'VTI', 'GLD', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'SLV', 'TLT', 'BND', 'DBB', 'USO'}",12,True
8,2011-10-31,0.3,0.7192982456140351,"{'VTI', 'USRT', 'VO', 'VB', 'ICF', 'VEU', 'DBE', 'VWO', 'RWR', 'SHY', 'TLT', 'TIP', 'BND', 'DBB', 'USO'}",15,True
9,2012-03-31,0.3,0.5789473684210527,"{'VTI', 'GLD', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'SLV', 'USO'}",9,True
10,2012-08-31,0.3,0.543859649122807,"{'VTI', 'GLD', 'VO', 'VB', 'DBE', 'VEU', 'VWO', 'TLT', 'BND', 'USO'}",10,True
11,2013-01-31,0.3,0.49707602339181284,"{'GLD', 'DBE', 'VEU', 'VWO', 'SLV', 'DBB'}",6,True
12,2013-06-30,0.3,0.672514619883041,"{'VTI', 'MUB', 'USRT', 'VO', 'ICF', 'DBE', 'VWO', 'RWR', 'SHY', 'TIP', 'USO'}",11,True
13,2013-11-30,0.3,0.5146198830409356,"{'MUB', 'GLD', 'USRT', 'VWO', 'TLT', 'TIP', 'BND'}",7,True
14,2014-04-30,0.3,0.42105263157894735,"{'VTI', 'MUB', 'VO', 'VB', 'VEU', 'VWO', 'SHY', 'TLT', 'TIP', 'BND'}",10,True
15,2014-09-30,0.3,0.49707602339181284,"{'GLD', 'DBE', 'SHY', 'TLT', 'TIP', 'BND'}",6,True
16,2015-02-28,0.3,0.5321637426900585,"{'VTI', 'VB', 'DBE', 'VEU', 'VWO', 'DBB'}",6,True
17,2015-07-31,0.3,0.5964912280701754,"{'MUB', 'DBE', 'VEU', 'VWO', 'TLT', 'TIP', 'BND', 'DBB', 'USO'}",9,True
18,2015-12-31,0.3,0.4678362573099415,"{'USRT', 'VO', 'ICF', 'VEU', 'VWO', 'RWR'}",6,True
19,2016-05-31,0.3,0.47953216374269003,"{'VTI', 'MUB', 'VO', 'VB', 'VEU', 'TLT', 'BND'}",7,True
20,2016-10-31,0.3,0.5730994152046783,"{'MUB', 'GLD', 'USRT', 'ICF', 'RWR', 'SHY', 'SLV', 'TLT', 'TIP', 'BND'}",10,True
21,2017-03-31,0.3,0.6666666666666666,"{'USRT', 'ICF', 'DBE', 'RWR', 'SHY', 'SLV', 'TIP', 'BND'}",8,True
