,date,threshold,density,max_clique,clique_size,valid_clique
0,2008-06-30,0.3,0.7543859649122807,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'UNG', 'USO', 'VB', 'VO', 'VTI']",13,True
1,2008-11-30,0.3,0.7134502923976608,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
2,2009-04-30,0.3,0.695906432748538,"['BND', 'DBE', 'ICF', 'RWR', 'SHY', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
3,2009-09-30,0.3,0.6374269005847953,"['DBB', 'DBE', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True
4,2010-02-28,0.3,0.7777777777777778,"['DBB', 'DBE', 'GLD', 'ICF', 'MUB', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",14,True
5,2010-07-31,0.3,0.6666666666666666,"['DBB', 'DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
6,2010-12-31,0.3,0.4269005847953216,"['DBB', 'ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
7,2011-05-31,0.3,0.695906432748538,"['BND', 'DBB', 'DBE', 'ICF', 'RWR', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
8,2011-10-31,0.3,0.7192982456140351,"['BND', 'DBB', 'DBE', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",15,True
9,2012-03-31,0.3,0.5789473684210527,"['DBB', 'DBE', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True
10,2012-08-31,0.3,0.543859649122807,"['BND', 'DBE', 'GLD', 'TLT', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
11,2013-01-31,0.3,0.49707602339181284,"['ICF', 'RWR', 'TLT', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
12,2013-06-30,0.3,0.672514619883041,"['BND', 'DBE', 'ICF', 'MUB', 'RWR', 'SHY', 'TIP', 'USO', 'USRT', 'VB', 'VO', 'VTI', 'VWO']",13,True
13,2013-11-30,0.3,0.5146198830409356,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
14,2014-04-30,0.3,0.42105263157894735,"['BND', 'MUB', 'SHY', 'TIP', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
15,2014-09-30,0.3,0.49707602339181284,"['MUB', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
16,2015-02-28,0.3,0.5321637426900585,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
17,2015-07-31,0.3,0.5964912280701754,"['BND', 'MUB', 'SHY', 'TIP', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
18,2015-12-31,0.3,0.4678362573099415,"['ICF', 'RWR', 'SLV', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
19,2016-05-31,0.3,0.47953216374269003,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",7,True
20,2016-10-31,0.3,0.5730994152046783,"['BND', 'GLD', 'ICF', 'MUB', 'RWR', 'SHY', 'SLV', 'TIP', 'TLT', 'USRT']",10,True
21,2017-03-31,0.3,0.6666666666666666,"['DBB', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
22,2017-08-31,0.3,0.4502923976608187,"['MUB', 'TIP', 'TLT', 'UNG', 'VB', 'VO', 'VTI', 'VWO']",8,False
23,2008-06-30,0.4,0.5964912280701754,"['DBB', 'GLD', 'ICF', 'RWR', 'TIP', 'USO', 'VB', 'VO', 'VTI']",9,True
24,2008-11-30,0.4,0.6549707602339181,"['DBB', 'DBE', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True
25,2009-04-30,0.4,0.5789473684210527,"['DBE', 'ICF', 'RWR', 'SHY', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
26,2009-09-30,0.4,0.49122807017543857,"['DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
27,2010-02-28,0.4,0.6783625730994152,"['DBE', 'GLD', 'ICF', 'MUB', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
28,2010-07-31,0.4,0.6081871345029239,"['BND', 'ICF', 'RWR', 'SHY', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True
29,2010-12-31,0.4,0.3216374269005848,"['ICF', 'RWR', 'USRT', 'VB', 'VO', 'VTI', 'VWO']",7,True
30,2011-05-31,0.4,0.5789473684210527,"['DBB', 'DBE', 'GLD', 'SLV', 'TLT', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
31,2011-10-31,0.4,0.6491228070175439,"['BND', 'DBB', 'DBE', 'ICF', 'RWR', 'TLT', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
32,2012-03-31,0.4,0.52046783625731,"['DBB', 'DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
33,2012-08-31,0.4,0.34502923976608185,"['DBB', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
34,2013-01-31,0.4,0.40350877192982454,"['ICF', 'RWR', 'TLT', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
35,2013-06-30,0.4,0.5555555555555556,"['BND', 'DBE', 'ICF', 'MUB', 'RWR', 'TIP', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",13,True
36,2013-11-30,0.4,0.36257309941520466,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
37,2014-04-30,0.4,0.34502923976608185,"['BND', 'MUB', 'SHY', 'TIP', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
38,2014-09-30,0.4,0.3391812865497076,"['MUB', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",6,True
39,2015-02-28,0.4,0.3742690058479532,"['DBE', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
40,2015-07-31,0.4,0.4269005847953216,"['BND', 'MUB', 'SHY', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
41,2015-12-31,0.4,0.3508771929824561,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
42,2016-05-31,0.4,0.38011695906432746,"['MUB', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
43,2016-10-31,0.4,0.3742690058479532,"['BND', 'GLD', 'MUB', 'SHY', 'SLV', 'TIP', 'TLT']",7,False
44,2017-03-31,0.4,0.5497076023391813,"['BND', 'GLD', 'ICF', 'MUB', 'RWR', 'SHY', 'SLV', 'TIP', 'USRT']",9,True
45,2017-08-31,0.4,0.3333333333333333,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",7,False
46,2008-06-30,0.5,0.4269005847953216,"['ICF', 'RWR', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
47,2008-11-30,0.5,0.5614035087719298,"['DBE', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
48,2009-04-30,0.5,0.5087719298245614,"['DBB', 'DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
49,2009-09-30,0.5,0.3742690058479532,"['DBE', 'ICF', 'RWR', 'USRT', 'VEU', 'VO', 'VTI', 'VWO']",8,False
50,2010-02-28,0.5,0.5672514619883041,"['DBE', 'GLD', 'ICF', 'RWR', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,False
51,2010-07-31,0.5,0.52046783625731,"['BND', 'ICF', 'RWR', 'SHY', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
52,2010-12-31,0.5,0.19883040935672514,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
53,2011-05-31,0.5,0.4093567251461988,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
54,2011-10-31,0.5,0.6140350877192983,"['BND', 'ICF', 'RWR', 'SHY', 'TIP', 'TLT', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",12,True
55,2012-03-31,0.5,0.4502923976608187,"['DBB', 'DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
56,2012-08-31,0.5,0.23391812865497075,"['DBE', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
57,2013-01-31,0.5,0.25146198830409355,"['ICF', 'USRT', 'VB', 'VEU', 'VO', 'VWO']",6,True
58,2013-06-30,0.5,0.4678362573099415,"['BND', 'DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",10,True
59,2013-11-30,0.5,0.23391812865497075,"['ICF', 'RWR', 'USRT', 'VEU', 'VO', 'VTI']",6,True
60,2014-04-30,0.5,0.2222222222222222,"['BND', 'MUB', 'TLT', 'VB', 'VEU', 'VO', 'VTI']",7,True
61,2014-09-30,0.5,0.19298245614035087,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,False
62,2015-02-28,0.5,0.26900584795321636,"['DBE', 'USO', 'VB', 'VEU', 'VWO']",5,False
63,2015-07-31,0.5,0.2982456140350877,"['BND', 'MUB', 'SHY', 'VB', 'VEU', 'VO', 'VTI']",7,False
64,2015-12-31,0.5,0.23976608187134502,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
65,2016-05-31,0.5,0.2982456140350877,"['ICF', 'RWR', 'USRT', 'VB', 'VO', 'VTI']",6,True
66,2016-10-31,0.5,0.26900584795321636,"['BND', 'ICF', 'RWR', 'TIP', 'TLT', 'USRT']",6,False
67,2017-03-31,0.5,0.391812865497076,"['BND', 'GLD', 'MUB', 'SHY', 'SLV', 'TIP', 'TLT']",7,True
68,2017-08-31,0.5,0.22807017543859648,"['BND', 'GLD', 'SHY', 'SLV', 'TIP', 'TLT']",6,False
69,2008-06-30,0.6000000000000001,0.2573099415204678,"['ICF', 'RWR', 'USRT', 'VB', 'VO', 'VTI']",6,False
70,2008-11-30,0.6000000000000001,0.42105263157894735,"['DBE', 'ICF', 'RWR', 'SLV', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
71,2009-04-30,0.6000000000000001,0.39766081871345027,"['DBB', 'DBE', 'ICF', 'RWR', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",11,True
72,2009-09-30,0.6000000000000001,0.26900584795321636,"['DBE', 'ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
73,2010-02-28,0.6000000000000001,0.4619883040935672,"['DBE', 'GLD', 'SLV', 'USO', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
74,2010-07-31,0.6000000000000001,0.3684210526315789,"['DBE', 'ICF', 'RWR', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
75,2010-12-31,0.6000000000000001,0.14035087719298245,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
76,2011-05-31,0.6000000000000001,0.2807017543859649,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
77,2011-10-31,0.6000000000000001,0.5321637426900585,"['BND', 'DBE', 'ICF', 'RWR', 'TLT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",10,True
78,2012-03-31,0.6000000000000001,0.34502923976608185,"['DBB', 'SLV', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
79,2012-08-31,0.6000000000000001,0.17543859649122806,"['USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",6,True
80,2013-01-31,0.6000000000000001,0.1695906432748538,"['ICF', 'RWR', 'USRT', 'VB', 'VO', 'VTI']",6,False
81,2013-06-30,0.6000000000000001,0.3216374269005848,"['BND', 'ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
82,2013-11-30,0.6000000000000001,0.16374269005847952,"['DBB', 'GLD', 'SLV', 'USO']",4,False
83,2014-04-30,0.6000000000000001,0.17543859649122806,"['MUB', 'VB', 'VEU', 'VO', 'VTI']",5,False
84,2014-09-30,0.6000000000000001,0.13450292397660818,"['DBB', 'USO', 'VB', 'VEU', 'VO', 'VTI']",6,True
85,2015-02-28,0.6000000000000001,0.17543859649122806,"['BND', 'MUB', 'SHY', 'TIP', 'TLT']",5,True
86,2015-07-31,0.6000000000000001,0.2046783625730994,"['MUB', 'VB', 'VEU', 'VO', 'VTI']",5,False
87,2015-12-31,0.6000000000000001,0.21637426900584794,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",7,True
88,2016-05-31,0.6000000000000001,0.1871345029239766,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,False
89,2016-10-31,0.6000000000000001,0.18128654970760233,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
90,2017-03-31,0.6000000000000001,0.2573099415204678,"['BND', 'GLD', 'MUB', 'SHY', 'TIP', 'TLT', 'UNG']",7,False
91,2017-08-31,0.6000000000000001,0.15789473684210525,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,False
92,2008-06-30,0.7000000000000002,0.15789473684210525,"['ICF', 'RWR', 'TLT', 'VB', 'VO', 'VTI']",6,False
93,2008-11-30,0.7000000000000002,0.25146198830409355,"['ICF', 'RWR', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
94,2009-04-30,0.7000000000000002,0.26900584795321636,"['DBE', 'ICF', 'RWR', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
95,2009-09-30,0.7000000000000002,0.19883040935672514,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
96,2010-02-28,0.7000000000000002,0.39766081871345027,"['DBE', 'GLD', 'SLV', 'USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",9,True
97,2010-07-31,0.7000000000000002,0.24561403508771928,"['ICF', 'RWR', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
98,2010-12-31,0.7000000000000002,0.11695906432748537,"['DBB', 'GLD', 'MUB', 'VEU']",4,True
99,2011-05-31,0.7000000000000002,0.2222222222222222,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
100,2011-10-31,0.7000000000000002,0.3508771929824561,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
101,2012-03-31,0.7000000000000002,0.19298245614035087,"['BND', 'ICF', 'RWR', 'SLV', 'TLT', 'VB', 'VEU', 'VO']",8,False
102,2012-08-31,0.7000000000000002,0.14035087719298245,"['USO', 'VEU', 'VO', 'VTI', 'VWO']",5,True
103,2013-01-31,0.7000000000000002,0.13450292397660818,"['ICF', 'RWR', 'USRT', 'VO', 'VTI']",5,True
104,2013-06-30,0.7000000000000002,0.23976608187134502,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
105,2013-11-30,0.7000000000000002,0.09941520467836257,"['ICF', 'SLV', 'VEU', 'VO', 'VTI']",5,True
106,2014-04-30,0.7000000000000002,0.14035087719298245,"['MUB', 'VB', 'VEU', 'VO', 'VTI']",5,True
107,2014-09-30,0.7000000000000002,0.0935672514619883,"['SHY', 'USRT', 'VB']",3,False
108,2015-02-28,0.7000000000000002,0.14619883040935672,"['BND', 'MUB', 'SHY', 'TIP', 'TLT']",5,True
109,2015-07-31,0.7000000000000002,0.15204678362573099,"['TIP', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",6,True
110,2015-12-31,0.7000000000000002,0.19298245614035087,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",7,True
111,2016-05-31,0.7000000000000002,0.13450292397660818,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
112,2016-10-31,0.7000000000000002,0.11695906432748537,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
113,2017-03-31,0.7000000000000002,0.19883040935672514,"['BND', 'GLD', 'MUB', 'SHY', 'TIP', 'TLT']",6,True
114,2017-08-31,0.7000000000000002,0.1286549707602339,"['GLD', 'ICF', 'RWR', 'USO', 'USRT']",5,True
115,2008-06-30,0.8000000000000003,0.09941520467836257,"['DBE', 'ICF', 'RWR', 'USO', 'VB', 'VTI']",6,False
116,2008-11-30,0.8000000000000003,0.15204678362573099,"['ICF', 'RWR', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
117,2009-04-30,0.8000000000000003,0.1871345029239766,"['USO', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",6,False
118,2009-09-30,0.8000000000000003,0.15204678362573099,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI']",7,True
119,2010-02-28,0.8000000000000003,0.27485380116959063,"['GLD', 'SLV', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
120,2010-07-31,0.8000000000000003,0.1286549707602339,"['ICF', 'RWR', 'VB', 'VO', 'VTI']",5,False
121,2010-12-31,0.8000000000000003,0.0935672514619883,"['BND', 'GLD', 'SHY', 'TIP']",4,False
122,2011-05-31,0.8000000000000003,0.15204678362573099,"['VB', 'VEU', 'VO', 'VTI', 'VWO']",5,True
123,2011-10-31,0.8000000000000003,0.21637426900584794,"['ICF', 'RWR', 'USRT', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",8,True
124,2012-03-31,0.8000000000000003,0.14035087719298245,"['DBB', 'SHY', 'VB', 'VEU', 'VO', 'VTI']",6,True
125,2012-08-31,0.8000000000000003,0.11695906432748537,"['VEU', 'VO', 'VTI', 'VWO']",4,True
126,2013-01-31,0.8000000000000003,0.07602339181286549,"['ICF', 'USRT', 'VO', 'VTI']",4,False
127,2013-06-30,0.8000000000000003,0.17543859649122806,"['ICF', 'RWR', 'VB', 'VEU', 'VO', 'VTI', 'VWO']",7,True
128,2013-11-30,0.8000000000000003,0.07602339181286549,"['BND', 'MUB', 'TIP', 'TLT']",4,False
129,2014-04-30,0.8000000000000003,0.0935672514619883,"['VB', 'VEU', 'VO', 'VTI']",4,False
130,2014-09-30,0.8000000000000003,0.05847953216374269,"['ICF', 'VB', 'VO']",3,False
131,2015-02-28,0.8000000000000003,0.1111111111111111,"['BND', 'DBB', 'MUB', 'TIP', 'TLT']",5,True
132,2015-07-31,0.8000000000000003,0.07602339181286549,"['DBB', 'DBE', 'VEU', 'VTI']",4,False
133,2015-12-31,0.8000000000000003,0.13450292397660818,"['BND', 'DBB', 'DBE', 'GLD', 'TIP', 'USO']",6,False
134,2016-05-31,0.8000000000000003,0.08187134502923976,"['VB', 'VEU', 'VO', 'VTI']",4,False
135,2016-10-31,0.8000000000000003,0.0935672514619883,"['SLV', 'VEU', 'VO', 'VTI', 'VWO']",5,True
136,2017-03-31,0.8000000000000003,0.09941520467836257,"['BND', 'DBB', 'MUB', 'TIP', 'TLT']",5,True
137,2017-08-31,0.8000000000000003,0.10526315789473684,"['VB', 'VEU', 'VO', 'VTI']",4,False
138,2008-06-30,0.9000000000000001,0.029239766081871343,"['GLD', 'MUB', 'SLV', 'VEU']",4,False
139,2008-11-30,0.9000000000000001,0.10526315789473684,"['BND', 'RWR', 'SHY', 'SLV', 'TIP', 'UNG', 'VWO']",7,False
140,2009-04-30,0.9000000000000001,0.06432748538011696,"['GLD', 'TLT', 'USO', 'VWO']",4,False
141,2009-09-30,0.9000000000000001,0.08187134502923976,"['ICF', 'RWR', 'VO', 'VTI']",4,True
142,2010-02-28,0.9000000000000001,0.0935672514619883,"['GLD', 'SHY', 'SLV', 'VEU', 'VO', 'VWO']",6,False
143,2010-07-31,0.9000000000000001,0.07602339181286549,"['ICF', 'RWR', 'VB', 'VO', 'VTI']",5,True
144,2010-12-31,0.9000000000000001,0.05263157894736842,"['TLT', 'USO', 'VB', 'VEU']",4,False
145,2011-05-31,0.9000000000000001,0.05263157894736842,"['DBB', 'ICF', 'USRT']",3,False
146,2011-10-31,0.9000000000000001,0.07602339181286549,"['ICF', 'RWR', 'VB', 'VEU', 'VO']",5,False
147,2012-03-31,0.9000000000000001,0.08771929824561403,"['RWR', 'UNG', 'VEU', 'VO', 'VTI']",5,False
148,2012-08-31,0.9000000000000001,0.04678362573099415,"['BND', 'DBB', 'TIP', 'VWO']",4,False
149,2013-01-31,0.9000000000000001,0.029239766081871343,"['SHY', 'VB', 'VO', 'VTI']",4,False
150,2013-06-30,0.9000000000000001,0.08187134502923976,"['VB', 'VEU', 'VO', 'VTI']",4,False
151,2013-11-30,0.9000000000000001,0.04678362573099415,"['DBB', 'GLD', 'RWR', 'SLV', 'USRT', 'VWO']",6,False
152,2014-04-30,0.9000000000000001,0.023391812865497075,"['DBB', 'USO', 'VTI']",3,False
153,2014-09-30,0.9000000000000001,0.04678362573099415,"['DBB', 'ICF', 'RWR', 'USRT', 'VB', 'VEU']",6,False
154,2015-02-28,0.9000000000000001,0.05847953216374269,"['VEU', 'VWO']",2,False
155,2015-07-31,0.9000000000000001,0.05263157894736842,"['VB', 'VO', 'VTI']",3,False
156,2015-12-31,0.9000000000000001,0.07017543859649122,"['DBB', 'DBE', 'GLD', 'SHY']",4,True
157,2016-05-31,0.9000000000000001,0.06432748538011696,"['RWR', 'USRT']",2,False
158,2016-10-31,0.9000000000000001,0.05847953216374269,"['VB', 'VO', 'VTI']",3,False
159,2017-03-31,0.9000000000000001,0.06432748538011696,"['MUB', 'VB', 'VO', 'VTI', 'VWO']",5,False
160,2017-08-31,0.9000000000000001,0.05263157894736842,"['DBB', 'MUB', 'VB']",3,False
