,date,threshold,density,max_clique,clique_size,valid_clique
0,2008-06-30,0.3,0.44285714285714284,"['AHT', 'CCL', 'CNA', 'EVR', 'IHG', 'PRU', 'RBS', 'TSCO']",8,True
1,2008-11-30,0.3,0.7619047619047619,"['ADM', 'AHT', 'AZN', 'CCL', 'CNA', 'CRH', 'GSK', 'IAG', 'IHG', 'MRO', 'PRU', 'RIO', 'STAN', 'TSCO', 'VOD', 'WPP']",16,True
2,2009-04-30,0.3,0.5238095238095238,"['ADM', 'CCL', 'CNA', 'CRH', 'EVR', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'VOD', 'WPP']",12,True
3,2009-09-30,0.3,0.5095238095238095,"['ADM', 'AHT', 'CNA', 'CRH', 'MRO', 'PRU', 'RBS', 'RIO', 'VOD', 'WPP']",10,True
4,2010-02-28,0.3,0.6095238095238096,"['ADM', 'AHT', 'IAG', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'STAN', 'TSCO', 'WPP']",11,True
5,2010-07-31,0.3,0.6761904761904762,"['ADM', 'AHT', 'CCL', 'CNA', 'EVR', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'STAN', 'TSCO', 'WPP']",13,True
6,2010-12-31,0.3,0.4666666666666667,"['ADM', 'AHT', 'CCL', 'CNA', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'WPP']",10,False
7,2011-05-31,0.3,0.5190476190476191,"['AZN', 'CNA', 'CRH', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'WPP']",9,True
8,2011-10-31,0.3,0.8285714285714286,"['ADM', 'AHT', 'AZN', 'CCL', 'CNA', 'CRH', 'EVR', 'IAG', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'SVT', 'VOD', 'WPP']",16,True
9,2012-03-31,0.3,0.5619047619047619,"['ADM', 'AZN', 'CCL', 'CNA', 'CRH', 'GSK', 'IHG', 'MRO', 'PRU', 'RBS', 'STAN', 'WPP']",12,True
10,2012-08-31,0.3,0.38095238095238093,"['CCL', 'CRH', 'EVR', 'MRO', 'RBS', 'RIO', 'WPP']",7,False
11,2013-01-31,0.3,0.5285714285714286,"['ADM', 'AZN', 'CCL', 'IHG', 'MRO', 'PRU', 'RIO', 'WPP']",8,True
12,2013-06-30,0.3,0.719047619047619,"['ADM', 'AHT', 'AZN', 'CNA', 'CRH', 'EVR', 'GSK', 'IHG', 'MRO', 'PRU', 'RBS', 'RIO', 'VOD', 'WPP']",14,True
13,2013-11-30,0.3,0.34285714285714286,"['CCL', 'CNA', 'EVR', 'MRO', 'TSCO', 'VOD']",6,True
14,2014-04-30,0.3,0.3904761904761905,"['EVR', 'IHG', 'III', 'PRU', 'RBS', 'STAN', 'TSCO', 'WPP']",8,True
15,2014-09-30,0.3,0.4095238095238095,"['AZN', 'CNA', 'GSK', 'IHG', 'PRU', 'VOD', 'WPP']",7,True
16,2015-02-28,0.3,0.35714285714285715,"['CNA', 'CRH', 'EVR', 'MRO', 'RBS', 'RIO']",6,True
17,2015-07-31,0.3,0.5904761904761905,"['AZN', 'CCL', 'CNA', 'CRH', 'EVR', 'IHG', 'PRU', 'RBS', 'TSCO', 'WPP']",10,True
18,2015-12-31,0.3,0.7095238095238096,"['ADM', 'AZN', 'CCL', 'CNA', 'CRH', 'EVR', 'GSK', 'IAG', 'IHG', 'PRU', 'RBS', 'WPP']",12,True
