,bicoloring,date,density,frustration_score,threshold
0,"{'DBE': 1, 'SLV': 1, 'VO': 0, 'SHY': 1, 'USO': 1, 'USRT': 0, 'UNG': 1, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 1, 'DBB': 1, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2008-06-30,0.9005847953216374,0.006493506493506494,0.1
1,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2008-11-30,0.8888888888888888,0.013157894736842105,0.1
2,"{'DBE': 0, 'SLV': 1, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 1, 'RWR': 0, 'GLD': 1, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2009-04-30,0.8771929824561403,0.013333333333333334,0.1
3,"{'DBE': 1, 'SLV': 1, 'VO': 1, 'SHY': 0, 'USO': 1, 'USRT': 1, 'UNG': 1, 'BND': 0, 'VB': 1, 'VEU': 1, 'MUB': 1, 'TLT': 0, 'RWR': 1, 'GLD': 1, 'DBB': 1, 'ICF': 1, 'VTI': 1, 'TIP': 1, 'VWO': 1}",2009-09-30,0.8830409356725146,0.033112582781456956,0.1
4,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2010-02-28,0.935672514619883,0.0125,0.1
5,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 1, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2010-07-31,0.8362573099415205,0.013986013986013986,0.1
6,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 0, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 0, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 0, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 0, 'VWO': 0}",2010-12-31,0.7485380116959064,0.0625,0.1
7,"{'DBE': 1, 'SLV': 1, 'VO': 1, 'SHY': 0, 'USO': 1, 'USRT': 1, 'UNG': 1, 'BND': 0, 'VB': 1, 'VEU': 1, 'MUB': 0, 'TLT': 0, 'RWR': 1, 'GLD': 1, 'DBB': 1, 'ICF': 1, 'VTI': 1, 'TIP': 1, 'VWO': 1}",2011-05-31,0.9005847953216374,0.01948051948051948,0.1
8,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2011-10-31,0.8830409356725146,0.019867549668874173,0.1
9,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2012-03-31,0.8362573099415205,0.02097902097902098,0.1
10,"{'DBE': 1, 'SLV': 1, 'VO': 1, 'SHY': 1, 'USO': 1, 'USRT': 1, 'UNG': 1, 'BND': 0, 'VB': 1, 'VEU': 1, 'MUB': 1, 'TLT': 1, 'RWR': 1, 'GLD': 1, 'DBB': 1, 'ICF': 1, 'VTI': 1, 'TIP': 0, 'VWO': 1}",2012-08-31,0.8538011695906432,0.0684931506849315,0.1
11,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 1, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 1, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2013-01-31,0.49707602339181284,0.011764705882352941,0.1
12,"{'DBE': 0, 'SLV': 0, 'VO': 0, 'SHY': 0, 'USO': 0, 'USRT': 0, 'UNG': 1, 'BND': 0, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 0, 'RWR': 0, 'GLD': 0, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 0, 'VWO': 0}",2013-06-30,0.9064327485380117,0.0064516129032258064,0.1
13,"{'DBE': 0, 'SLV': 0, 'VO': 1, 'SHY': 0, 'USO': 0, 'USRT': 0, 'UNG': 1, 'BND': 0, 'VB': 0, 'VEU': 0, 'MUB': 0, 'TLT': 0, 'RWR': 0, 'GLD': 0, 'DBB': 1, 'ICF': 0, 'VTI': 0, 'TIP': 0, 'VWO': 0}",2013-11-30,0.8771929824561403,0.04,0.1
14,"{'DBE': 1, 'SLV': 1, 'VO': 0, 'SHY': 1, 'USO': 0, 'USRT': 0, 'UNG': 0, 'BND': 1, 'VB': 0, 'VEU': 0, 'MUB': 1, 'TLT': 1, 'RWR': 0, 'GLD': 1, 'DBB': 0, 'ICF': 0, 'VTI': 0, 'TIP': 1, 'VWO': 0}",2014-04-30,0.7719298245614035,0.14393939393939395,0.1
15,"{'DBE': 1, 'SLV': 1, 'VO': 1, 'SHY': 1, 'USO': 1, 'USRT': 1, 'UNG': 0, 'BND': 0, 'VB': 1, 'VEU': 1, 'MUB': 0, 'TLT': 0, 'RWR': 1, 'GLD': 0, 'DBB': 1, 'ICF': 1, 'VTI': 1, 'TIP': 0, 'VWO': 1}",2014-09-30,0.8830409356725146,0.1456953642384106,0.1
