,bicoloring,date,density,frustration_score,threshold
0,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2008-06-30,0.9454545454545454,0.0,0.1
1,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2008-11-30,1.0,0.0,0.1
2,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2009-04-30,1.0,0.0,0.1
3,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2009-09-30,1.0,0.0,0.1
4,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2010-02-28,1.0,0.0,0.1
5,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2010-07-31,1.0,0.0,0.1
6,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2010-12-31,1.0,0.0,0.1
7,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2011-05-31,1.0,0.0,0.1
8,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2011-10-31,1.0,0.0,0.1
9,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2012-03-31,1.0,0.0,0.1
10,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2012-08-31,1.0,0.0,0.1
11,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2013-01-31,1.0,0.0,0.1
12,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2013-06-30,1.0,0.0,0.1
13,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2013-11-30,1.0,0.0,0.1
14,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2014-04-30,0.9090909090909091,0.0,0.1
15,"{'XLI': 0, 'XLB': 0, 'XLF': 0, 'XLK': 0, 'IYT': 0, 'RWR': 0, 'XLY': 0, 'XLP': 0, 'XLU': 0, 'XLE': 0, 'XLV': 0}",2014-09-30,1.0,0.0,0.1
16,"{'XLI': 1, 'XLB': 1, 'XLF': 1, 'XLK': 1, 'IYT': 1, 'RWR': 1, 'XLY': 1, 'XLP': 1, 'XLU': 1, 'XLE': 1, 'XLV': 1}",2015-02-28,0.9818181818181818,0.0,0.1
