Date,BND,DBB,DBE,GLD,ICF,MUB,RWR,SHY,SLV,TIP,TLT,UNG,USO,USRT,VB,VEU,VO,VSS,VTI,VWO
02JAN2008,-0.0003,0.0183,0.0340,0.0291,-0.0057,0.0031,-0.0061,0.0018,0.0329,0.0079,0.0143,0.0552,0.0358,-0.0088,-0.0134,-0.0036,-0.0102,#N/A,-0.0118,-0.0029
03JAN2008,0.0013,0.0484,-0.0066,0.0084,-0.0388,-0.0012,-0.0293,0.0016,0.0069,0.0034,-0.0014,-0.0243,-0.0013,-0.0287,-0.0109,0.0022,-0.0035,#N/A,-0.0012,0.0096
04JAN2008,0.0012,-0.0240,-0.0055,-0.0051,-0.0371,-0.0005,-0.0422,0.0015,-0.0077,-0.0003,0.0002,0.0115,-0.0135,-0.0385,-0.0289,-0.0282,-0.0308,#N/A,-0.0267,-0.0330
07JAN2008,0.0003,0.0048,-0.0236,-0.0042,0.0092,-0.0011,0.0067,-0.0006,-0.0075,-0.0002,0.0043,0.0079,-0.0234,0.0023,-0.0025,0.0011,-0.0039,#N/A,0.0005,0.0079
08JAN2008,0.0010,0.0358,0.0082,0.0237,-0.0369,-0.0015,-0.0326,0.0015,0.0357,0.0007,-0.0012,0.0092,0.0074,-0.0298,-0.0239,0.0026,-0.0251,#N/A,-0.0179,-0.0008
09JAN2008,-0.0012,-0.0227,-0.0090,-0.0027,0.0196,0.0026,0.0181,-0.0005,-0.0045,-0.0007,0.0019,0.0221,-0.0106,-0.0190,0.0068,0.0074,0.0081,#N/A,0.0106,0.0243
10JAN2008,-0.0004,-0.0021,-0.0109,0.0196,0.0136,-0.0015,0.0124,0.0000,0.0349,-0.0045,-0.0135,0.0194,-0.0163,0.0469,0.0103,0.0026,0.0102,#N/A,0.0066,0.0093
11JAN2008,0.0031,-0.0078,-0.0117,0.0037,0.0029,0.0013,0.0034,0.0028,0.0010,0.0074,0.0078,-0.0155,-0.0126,0.0051,-0.0185,-0.0173,-0.0120,#N/A,-0.0094,-0.0237
14JAN2008,0.0013,0.0131,0.0186,0.0108,-0.0061,0.0045,-0.0027,0.0004,0.0126,0.0042,0.0037,0.0251,0.0159,-0.0241,0.0062,0.0101,0.0099,#N/A,0.0096,0.0108
15JAN2008,0.0036,-0.0279,-0.0194,-0.0173,-0.0283,0.0055,-0.0284,0.0008,-0.0274,0.0051,0.0112,-0.0240,-0.0198,0.0062,-0.0193,-0.0299,-0.0268,#N/A,-0.0243,-0.0422
16JAN2008,-0.0019,-0.0217,-0.0148,-0.0147,0.0198,-0.0038,0.0166,0.0008,-0.0114,-0.0059,-0.0072,-0.0033,-0.0128,0.0028,0.0002,-0.0232,-0.0053,#N/A,-0.0060,-0.0384
17JAN2008,0.0041,-0.0045,-0.0080,-0.0023,-0.0152,0.0060,-0.0123,0.0017,0.0040,0.0072,0.0130,-0.0084,-0.0114,-0.0221,-0.0257,-0.0203,-0.0311,#N/A,-0.0275,-0.0286
18JAN2008,-0.0005,0.0277,0.0083,0.0106,-0.0089,-0.0029,-0.0118,0.0008,0.0199,0.0009,-0.0069,-0.0141,0.0072,-0.0186,-0.0088,0.0068,-0.0013,#N/A,-0.0068,0.0219
22JAN2008,0.0063,-0.0146,-0.0118,0.0086,0.0265,0.0008,0.0332,0.0042,-0.0080,0.0076,0.0107,-0.0328,-0.0138,0.0317,-0.0065,-0.0316,-0.0073,#N/A,-0.0111,-0.0306
23JAN2008,-0.0017,-0.0278,-0.0114,-0.0032,0.0942,0.0012,0.0922,-0.0005,-0.0001,-0.0024,-0.0023,0.0011,-0.0149,0.0575,0.0298,0.0052,0.0258,#N/A,0.0262,0.0108
24JAN2008,-0.0065,0.0213,0.0181,0.0249,-0.0122,-0.0044,-0.0259,-0.0031,0.0252,-0.0068,-0.0200,0.0258,0.0206,0.0087,0.0070,0.0136,0.0113,#N/A,0.0064,0.0071
25JAN2008,0.0067,0.0107,0.0160,0.0024,-0.0175,0.0008,-0.0120,0.0026,-0.0001,0.0081,0.0169,0.0142,0.0139,-0.0020,-0.0057,-0.0148,-0.0089,#N/A,-0.0145,-0.0234
28JAN2008,-0.0036,0.0058,0.0071,0.0161,0.0341,-0.0005,0.0349,-0.0005,0.0155,-0.0012,-0.0038,0.0181,0.0061,0.0307,0.0198,0.0249,0.0204,#N/A,0.0209,0.0229
29JAN2008,-0.0014,0.0399,0.0063,-0.0065,-0.0069,-0.0030,-0.0089,-0.0006,-0.0010,-0.0004,-0.0068,-0.0147,0.0087,0.0057,0.0085,0.0085,0.0079,#N/A,0.0041,0.0038
30JAN2008,0.0004,-0.0120,0.0017,0.0100,-0.0276,-0.0060,-0.0240,0.0007,0.0085,0.0002,-0.0065,0.0119,0.0014,-0.0066,-0.0179,-0.0078,-0.0108,#N/A,-0.0091,-0.0177
31JAN2008,0.0008,0.0475,0.0023,-0.0072,0.0224,0.0032,0.0190,0.0010,0.0086,0.0049,0.0071,0.0005,-0.0100,-0.0031,0.0304,0.0139,0.0174,#N/A,0.0203,0.0237
01FEB2008,0.0034,-0.0173,-0.0322,-0.0224,0.0457,0.0065,0.0403,0.0011,-0.0119,0.0006,0.0060,-0.0407,-0.0260,0.0385,0.0281,0.0133,0.0290,#N/A,0.0162,0.0242
04FEB2008,-0.0036,0.0034,0.0163,-0.0028,-0.0140,-0.0025,-0.0116,0.0001,-0.0062,-0.0058,-0.0103,0.0186,0.0128,-0.0114,-0.0131,-0.0053,-0.0095,#N/A,-0.0118,-0.0012
05FEB2008,0.0027,-0.0335,-0.0187,-0.0159,-0.0395,0.0056,-0.0333,0.0023,-0.0211,0.0048,0.0076,0.0128,-0.0171,-0.0236,-0.0215,-0.0433,-0.0260,#N/A,-0.0284,-0.0416
06FEB2008,-0.0020,0.0167,-0.0051,0.0145,-0.0161,-0.0002,-0.0186,0.0004,0.0129,-0.0012,-0.0031,0.0023,-0.0161,-0.0178,-0.0122,-0.0033,-0.0147,#N/A,-0.0076,-0.0154
07FEB2008,-0.0061,0.0100,0.0114,0.0101,0.0235,-0.0028,0.0228,-0.0013,0.0180,-0.0119,-0.0215,0.0241,0.0113,-0.0026,0.0125,-0.0004,0.0094,#N/A,0.0092,0.0160
08FEB2008,0.0030,0.0236,0.0314,0.0128,-0.0337,0.0006,-0.0315,0.0018,0.0214,0.0100,0.0114,0.0150,0.0444,-0.0148,-0.0071,-0.0054,-0.0019,#N/A,-0.0059,-0.0062
11FEB2008,0.0022,-0.0021,0.0247,0.0036,-0.0217,0.0033,-0.0200,0.0004,0.0220,0.0026,0.0042,0.0279,0.0226,-0.0165,0.0035,0.0066,0.0085,#N/A,0.0058,0.0136
12FEB2008,-0.0017,0.0054,-0.0126,-0.0219,0.0336,-0.0026,0.0312,0.0004,-0.0211,-0.0018,-0.0060,-0.0183,-0.0129,0.0100,0.0059,0.0117,0.0029,#N/A,0.0092,0.0037
13FEB2008,-0.0054,-0.0008,0.0048,0.0012,0.0072,-0.0029,0.0064,0.0004,0.0058,-0.0091,-0.0106,0.0037,0.0071,0.0091,0.0181,0.0131,0.0125,#N/A,0.0114,0.0213
14FEB2008,-0.0046,-0.0123,0.0279,0.0030,-0.0212,-0.0094,-0.0181,-0.0007,-0.0026,-0.0067,-0.0147,0.0402,0.0223,0.0013,-0.0177,-0.0075,-0.0133,#N/A,-0.0130,-0.0114
15FEB2008,0.0016,0.0079,-0.0027,-0.0062,0.0089,0.0036,0.0059,-0.0011,-0.0079,0.0050,0.0077,-0.0071,0.0022,-0.0109,-0.0060,0.0011,-0.0007,#N/A,0.0002,0.0153
19FEB2008,-0.0092,0.0433,0.0360,0.0273,-0.0125,-0.0102,-0.0115,-0.0007,0.0251,-0.0057,-0.0101,0.0328,0.0379,-0.0043,0.0040,0.0106,0.0027,#N/A,0.0032,0.0097
20FEB2008,0.0008,-0.0091,-0.0027,0.0181,0.0172,0.0062,0.0185,-0.0012,0.0185,0.0033,0.0069,-0.0043,0.0065,0.0062,0.0103,0.0007,0.0097,#N/A,0.0047,0.0080
21FEB2008,0.0083,0.0371,-0.0198,0.0001,-0.0230,-0.0036,-0.0223,0.0028,-0.0002,0.0063,0.0106,-0.0067,-0.0251,-0.0077,-0.0128,-0.0013,-0.0153,#N/A,-0.0112,-0.0135
22FEB2008,-0.0025,-0.0108,0.0183,0.0015,0.0248,-0.0042,0.0201,-0.0011,0.0124,-0.0028,-0.0057,0.0439,0.0164,0.0118,0.0087,0.0112,0.0097,#N/A,0.0046,0.0151
25FEB2008,-0.0049,-0.0066,0.0048,-0.0070,0.0335,-0.0053,0.0330,-0.0016,0.0041,-0.0050,-0.0102,-0.0062,0.0017,0.0374,0.0108,0.0163,0.0177,#N/A,0.0168,0.0110
26FEB2008,0.0038,0.0251,0.0159,0.0105,-0.0011,0.0008,-0.0006,0.0014,0.0339,0.0066,0.0003,-0.0009,0.0173,-0.0024,0.0079,0.0162,0.0083,#N/A,0.0064,0.0187
27FEB2008,0.0018,0.0368,-0.0152,0.0114,-0.0065,-0.0063,0.0123,0.0012,0.0287,0.0017,0.0009,-0.0176,-0.0147,-0.0014,-0.0017,0.0014,-0.0048,#N/A,-0.0016,0.0040
